"Username","participant_ethnicity","Response.RT","key","Target_Ethnicity","Target_Gender","scored"
"cooforah0923","Black",24767,"NEW","W","M",0
"cooforah0923","Black",11223,"OLD","B","F",1
"cooforah0923","Black",6038,"OLD","W","M",1
"cooforah0923","Black",8332,"NEW","W","M",0
"cooforah0923","Black",5852,"OLD","B","F",1
"cooforah0923","Black",9224,"OLD","W","F",1
"cooforah0923","Black",13950,"OLD","W","M",1
"cooforah0923","Black",12837,"OLD","W","F",1
"cooforah0923","Black",49521,"NEW","W","M",0
"cooforah0923","Black",6886,"NEW","B","F",0
"cooforah0923","Black",12457,"NEW","W","F",0
"cooforah0923","Black",5389,"OLD","B","F",1
"cooforah0923","Black",15805,"NEW","W","F",0
"cooforah0923","Black",7472,"OLD","B","F",1
"cooforah0923","Black",17917,"OLD","B","M",1
"cooforah0923","Black",42304,"NEW","W","M",0
"cooforah0923","Black",8348,"OLD","W","M",1
"cooforah0923","Black",41519,"OLD","W","M",1
"cooforah0923","Black",14981,"OLD","B","F",1
"cooforah0923","Black",26874,"NEW","W","M",0
"cooforah0923","Black",16753,"NEW","B","M",0
"cooforah0923","Black",19287,"OLD","W","M",1
"cooforah0923","Black",10314,"OLD","B","F",1
"cooforah0923","Black",16767,"OLD","B","M",1
"cooforah0923","Black",5837,"NEW","B","F",0
"cooforah0923","Black",13791,"NEW","W","M",0
"cooforah0923","Black",11271,"OLD","B","M",1
"cooforah0923","Black",7071,"NEW","B","M",0
"cooforah0923","Black",15730,"OLD","W","F",1
"cooforah0923","Black",6565,"OLD","W","M",1
"cooforah0923","Black",7803,"OLD","B","M",1
"cooforah0923","Black",4999,"OLD","B","F",1
"cooforah0923","Black",33720,"NEW","B","F",0
"cooforah0923","Black",11348,"NEW","B","M",0
"cooforah0923","Black",16041,"NEW","B","M",0
"cooforah0923","Black",12349,"OLD","W","M",1
"cooforah0923","Black",6764,"OLD","B","M",1
"M20026000_JH","White",2677,"NEW","B","M",0
"M20026000_JH","White",3503,"OLD","B","M",1
"M20026000_JH","White",2446,"OLD","B","M",0
"M20026000_JH","White",2743,"OLD","W","F",1
