"Username","participant ethnicity","Response.RT","Response.JOL","Stimuli.Stimuli.Notes_2.1","Stimuli.Stimuli.Notes_3.1","key.1","Target_Ethnicity","scored"
"56b10faa6399f90011da710d","Black",6027,"79","F","H","OLD","B",1
"56b10faa6399f90011da710d","Black",5075,"52","M","L","OLD","W",1
"56b10faa6399f90011da710d","Black",4733,"34","M","H","OLD","W",1
"56b10faa6399f90011da710d","Black",7217,"89","F","H","OLD","B",1
"56b10faa6399f90011da710d","Black",4295,"66","F","L","OLD","B",0
"56b10faa6399f90011da710d","Black",5348,"78","F","H","OLD","B",0
"56b10faa6399f90011da710d","Black",4476,"85","M","H","OLD","B",0
"56b10faa6399f90011da710d","Black",5487,"95","F","L","OLD","B",1
"56b10faa6399f90011da710d","Black",3781,"98","M","H","OLD","B",1
"56b10faa6399f90011da710d","Black",4819,"57","F","H","OLD","W",1
"56b10faa6399f90011da710d","Black",3643,"13","M","L","OLD","W",1
"56b10faa6399f90011da710d","Black",5916,"23","M","L","OLD","W",0
"56b10faa6399f90011da710d","Black",5956,"66","F","H","OLD","W",1
"573156e4070de6000e43457d","White",4139,"50","M","H","OLD","W",0
"573156e4070de6000e43457d","White",4328,"60","F","L","OLD","B",1
"573156e4070de6000e43457d","White",5586,"70","F","H","OLD","W",0
"573156e4070de6000e43457d","White",4929,"40","M","H","OLD","W",0
"573156e4070de6000e43457d","White",3973,"60","F","L","OLD","B",1
"573156e4070de6000e43457d","White",3984,"70","F","H","OLD","B",0
"573156e4070de6000e43457d","White",4100,"30","F","L","OLD","B",1
"573156e4070de6000e43457d","White",4666,"50","F","H","OLD","W",1
"573156e4070de6000e43457d","White",3439,"30","F","L","OLD","B",0
"573156e4070de6000e43457d","White",3896,"30","M","H","OLD","W",1
"573156e4070de6000e43457d","White",3872,"60","F","L","OLD","B",1
"573156e4070de6000e43457d","White",4874,"40","F","L","OLD","B",1
"573156e4070de6000e43457d","White",4155,"60","F","L","OLD","B",1
"573156e4070de6000e43457d","White",6562,"70","F","H","OLD","W",1
"573156e4070de6000e43457d","White",4788,"40","F","L","OLD","B",1
"573156e4070de6000e43457d","White",6229,"40","F","H","OLD","B",1
"573156e4070de6000e43457d","White",4739,"60","F","H","OLD","B",1
"573156e4070de6000e43457d","White",3944,"60","F","L","OLD","W",0
"573156e4070de6000e43457d","White",4470,"60","F","H","OLD","B",1
"573156e4070de6000e43457d","White",3415,"50","M","H","OLD","W",1
"573156e4070de6000e43457d","White",3963,"50","F","H","OLD","W",0
"573156e4070de6000e43457d","White",3711,"40","M","H","OLD","B",1
"573156e4070de6000e43457d","White",5313,"70","F","H","OLD","W",1
"573156e4070de6000e43457d","White",4096,"30","M","H","OLD","B",0
"573156e4070de6000e43457d","White",4336,"60","F","L","OLD","W",0
"573156e4070de6000e43457d","White",4050,"30","M","L","OLD","W",1
"573156e4070de6000e43457d","White",3581,"50","M","L","OLD","W",0
"573156e4070de6000e43457d","White",4372,"20","F","L","OLD","W",0
"573156e4070de6000e43457d","White",3870,"30","M","H","OLD","W",1
"573156e4070de6000e43457d","White",3581,"20","F","L","OLD","B",1
"573156e4070de6000e43457d","White",3572,"40","M","H","OLD","B",1
"573156e4070de6000e43457d","White",3128,"40","F","H","OLD","B",0
"573156e4070de6000e43457d","White",4551,"70","M","L","OLD","W",1
"573156e4070de6000e43457d","White",4255,"90","F","L","OLD","B",1
"573156e4070de6000e43457d","White",3642,"30","M","L","OLD","W",1
"573156e4070de6000e43457d","White",5204,"40","M","H","OLD","B",1
"573156e4070de6000e43457d","White",3407,"40","F","L","OLD","W",1
"573156e4070de6000e43457d","White",3813,"40","F","L","OLD","W",0
"573156e4070de6000e43457d","White",3912,"60","M","L","OLD","W",0
"573156e4070de6000e43457d","White",5355,"30","M","H","OLD","B",1
"57d2edf35e9bc90001f76b06","White",9091,"40","M","H","OLD","B",1
"57d2edf35e9bc90001f76b06","White",4724,"52","F","L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",5932,"65","M","H","OLD","B",1
"57d2edf35e9bc90001f76b06","White",5463,"34","F","H","OLD","W",1
"57d2edf35e9bc90001f76b06","White",7559,"25","F","H","OLD","W",1
"57d2edf35e9bc90001f76b06","White",3962,"40","M","H","OLD","W",0
"57d2edf35e9bc90001f76b06","White",3380,"40","F","H","OLD","B",1
"57d2edf35e9bc90001f76b06","White",6807,"72","F","L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",5598,"30","F","L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",10132,"55","M","H","OLD","B",1
"57d2edf35e9bc90001f76b06","White",6940,"70","F","L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",4781,"37","F","L","OLD","B",0
"57d2edf35e9bc90001f76b06","White",9203,"21","M","L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",7092,"65","M","H","OLD","B",1
"57d2edf35e9bc90001f76b06","White",3684,"60","F","H","OLD","W",1
"57d2edf35e9bc90001f76b06","White",5866,"30","F","H","OLD","W",0
