Username,participant_ethnicity,Response.RT,key,Target_Ethnicity,Target_Gender,scored
ZWZugoXhuOwuOZ,Black,1502,NEW,B,F,0
ZWZugoXhuOwuOZ,Black,11579,NEW,W,M,1
ZWZugoXhuOwuOZ,Black,3213,NEW,W,F,0
ZWZugoXhuOwuOZ,Black,1705,OLD,B,F,1
ZWZugoXhuOwuOZ,Black,1900,NEW,W,F,0
ZWZugoXhuOwuOZ,Black,4822,OLD,W,F,0
ZnnetteGZrXiZ,Other/unknown,1729,NEW,W,F,1
ZnnetteGZrXiZ,Other/unknown,2206,OLD,W,M,0
ZnnetteGZrXiZ,Other/unknown,1739,NEW,W,M,1
ZnnetteGZrXiZ,Other/unknown,2074,NEW,B,F,0
ZnnetteGZrXiZ,Other/unknown,1586,NEW,W,F,0
ZnnetteGZrXiZ,Other/unknown,3840,NEW,B,F,0
ZnnetteGZrXiZ,Other/unknown,1687,OLD,B,M,1
ZnnetteGZrXiZ,Other/unknown,1703,OLD,W,F,1
ZnnetteGZrXiZ,Other/unknown,2018,NEW,W,M,0
ZnnetteGZrXiZ,Other/unknown,1746,NEW,B,F,1
ZnnetteGZrXiZ,Other/unknown,1820,NEW,W,F,0
ZnnetteGZrXiZ,Other/unknown,1721,NEW,B,M,0
ZnnetteGZrXiZ,Other/unknown,2062,OLD,B,F,1
ZnnetteGZrXiZ,Other/unknown,1688,NEW,W,F,0
ZnnetteGZrXiZ,Other/unknown,2970,OLD,W,M,0
ZnnetteGZrXiZ,Other/unknown,1803,NEW,W,F,0
ZnnetteGZrXiZ,Other/unknown,1672,NEW,W,F,0
ZnnetteGZrXiZ,Other/unknown,2225,NEW,B,M,0
ZnnetteGZrXiZ,Other/unknown,1907,OLD,W,M,0
ZnnetteGZrXiZ,Other/unknown,1816,NEW,W,F,1
ZnnetteGZrXiZ,Other/unknown,1881,NEW,B,M,0
ZnnetteGZrXiZ,Other/unknown,2187,NEW,B,M,1
ZnnetteGZrXiZ,Other/unknown,1719,NEW,B,M,1
ZnnetteGZrXiZ,Other/unknown,2059,NEW,B,F,1
ZnnetteGZrXiZ,Other/unknown,1803,NEW,B,F,1
ZnnetteGZrXiZ,Other/unknown,1595,NEW,W,M,1
ZnnetteGZrXiZ,Other/unknown,2403,NEW,W,M,0
ZnnetteGZrXiZ,Other/unknown,1964,OLD,W,F,1
ZnnetteGZrXiZ,Other/unknown,1686,OLD,W,F,1
ZnnetteGZrXiZ,Other/unknown,1797,OLD,B,F,1
ZnnetteGZrXiZ,Other/unknown,1936,OLD,B,F,0
ZnnetteGZrXiZ,Other/unknown,1758,OLD,W,M,1
ZnnetteGZrXiZ,Other/unknown,5203,NEW,W,M,0
ZnnetteGZrXiZ,Other/unknown,1683,OLD,B,M,0
ZnnetteGZrXiZ,Other/unknown,1793,OLD,B,M,1
ZnnetteGZrXiZ,Other/unknown,1725,OLD,B,F,1
ZnnetteGZrXiZ,Other/unknown,1633,OLD,B,F,1
ZnnetteGZrXiZ,Other/unknown,2759,OLD,W,F,1
ZnnetteGZrXiZ,Other/unknown,1843,OLD,W,M,1
ZnnetteGZrXiZ,Other/unknown,2608,OLD,B,M,1
ZnnetteGZrXiZ,Other/unknown,1713,OLD,B,F,1
ZnnetteGZrXiZ,Other/unknown,2327,OLD,B,M,0
ZnnetteGZrXiZ,Other/unknown,5210,NEW,W,M,0
ZnnetteGZrXiZ,Other/unknown,2453,NEW,B,F,1
ZnnetteGZrXiZ,Other/unknown,3025,NEW,W,F,0
ZnnetteGZrXiZ,Other/unknown,1805,OLD,W,M,0
ZnnetteGZrXiZ,Other/unknown,1651,OLD,B,M,1
ZnnetteGZrXiZ,Other/unknown,1542,OLD,W,M,0
ZnnetteGZrXiZ,Other/unknown,1971,NEW,W,M,0
ZnnetteGZrXiZ,Other/unknown,3953,NEW,B,M,0
ZnnetteGZrXiZ,Other/unknown,2307,OLD,W,F,1
ZnnetteGZrXiZ,Other/unknown,2011,OLD,B,M,1
ZnnetteGZrXiZ,Other/unknown,2043,OLD,W,F,1
ZnnetteGZrXiZ,Other/unknown,2048,OLD,W,M,1
ZnnetteGZrXiZ,Other/unknown,2016,NEW,B,F,1
ZnnetteGZrXiZ,Other/unknown,2084,OLD,W,F,1
ZnnetteGZrXiZ,Other/unknown,2293,OLD,B,M,1
ZnnetteGZrXiZ,Other/unknown,1880,OLD,B,F,1
ZnnetteGZrXiZ,Other/unknown,1690,OLD,B,F,1
ZnnetteGZrXiZ,Other/unknown,2059,OLD,W,F,1
ZnnetteGZrXiZ,Other/unknown,1744,OLD,W,F,1
ZnnetteGZrXiZ,Other/unknown,1841,OLD,W,F,1
ZnnetteGZrXiZ,Other/unknown,1858,OLD,B,M,1
ZnnetteGZrXiZ,Other/unknown,1846,OLD,B,M,1
ZnnetteGZrXiZ,Other/unknown,2707,OLD,W,M,1
ZnnetteGZrXiZ,Other/unknown,1779,OLD,W,M,0
ZnnetteGZrXiZ,Other/unknown,1778,NEW,W,F,0
ZnnetteGZrXiZ,Other/unknown,1792,OLD,B,F,1
ZnnetteGZrXiZ,Other/unknown,3564,NEW,W,M,0
ZnnetteGZrXiZ,Other/unknown,2222,NEW,B,F,0
ZnnetteGZrXiZ,Other/unknown,4913,OLD,B,F,1
ZnnetteGZrXiZ,Other/unknown,2128,NEW,B,F,1
ZnnetteGZrXiZ,Other/unknown,2157,NEW,W,F,1
ZnnetteGZrXiZ,Other/unknown,3344,NEW,W,M,1
ZnnetteGZrXiZ,Other/unknown,2269,NEW,B,M,1
ZnnetteGZrXiZ,Other/unknown,1781,NEW,B,F,1
ZnnetteGZrXiZ,Other/unknown,2287,NEW,B,M,1
ZnnetteGZrXiZ,Other/unknown,1754,NEW,B,M,0
ZnnetteGZrXiZ,Other/unknown,1797,NEW,B,M,1
ZnnetteGZrXiZ,Other/unknown,2092,NEW,W,M,0
ZnniOZMeWellin,Other/unknown,2435,OLD,B,F,1
ZnniOZMeWellin,Other/unknown,2390,OLD,W,M,1
ZnniOZMeWellin,Other/unknown,3281,OLD,B,F,1
ZnniOZMeWellin,Other/unknown,2366,OLD,W,F,1
ZnniOZMeWellin,Other/unknown,5178,OLD,W,M,0
ZnniOZMeWellin,Other/unknown,2730,NEW,W,M,0
ZnniOZMeWellin,Other/unknown,2237,OLD,B,M,0
ZnniOZMeWellin,Other/unknown,2609,NEW,B,M,0
ZnniOZMeWellin,Other/unknown,3278,NEW,W,M,0
ZnniOZMeWellin,Other/unknown,3054,OLD,B,M,1
ZnniOZMeWellin,Other/unknown,2886,OLD,W,F,0
ZnniOZMeWellin,Other/unknown,2257,OLD,W,M,1
ZnniOZMeWellin,Other/unknown,2361,NEW,B,M,0
ZnniOZMeWellin,Other/unknown,2721,NEW,W,F,0
ZnniOZMeWellin,Other/unknown,2366,OLD,W,F,1
ZnniOZMeWellin,Other/unknown,3399,NEW,B,M,0
ZnniOZMeWellin,Other/unknown,2228,NEW,B,M,0
ZnniOZMeWellin,Other/unknown,2349,OLD,B,F,1
ZnniOZMeWellin,Other/unknown,2791,NEW,W,F,0
ZnniOZMeWellin,Other/unknown,2212,NEW,W,M,0
ZnniOZMeWellin,Other/unknown,2547,NEW,W,M,0
ZnniOZMeWellin,Other/unknown,2972,NEW,W,F,0
ZnniOZMeWellin,Other/unknown,2447,NEW,B,M,0
ZnniOZMeWellin,Other/unknown,3784,OLD,B,F,1
ZnniOZMeWellin,Other/unknown,2283,OLD,B,M,0
ZnniOZMeWellin,Other/unknown,2454,NEW,W,F,0
ZnniOZMeWellin,Other/unknown,2314,NEW,B,M,0
ZnniOZMeWellin,Other/unknown,2147,NEW,W,M,0
ZnniOZMeWellin,Other/unknown,2258,OLD,W,F,1
ZnniOZMeWellin,Other/unknown,2296,OLD,W,M,1
ZnniOZMeWellin,Other/unknown,3352,NEW,B,F,0
ZnniOZMeWellin,Other/unknown,2419,NEW,W,M,0
ZnniOZMeWellin,Other/unknown,2143,OLD,W,M,1
ZnniOZMeWellin,Other/unknown,1920,OLD,W,M,1
ZnniOZMeWellin,Other/unknown,2593,NEW,B,M,0
ZnniOZMeWellin,Other/unknown,2735,OLD,B,M,1
ZnniOZMeWellin,Other/unknown,2898,NEW,B,F,0
ZnniOZMeWellin,Other/unknown,2856,NEW,W,M,0
ZnniOZMeWellin,Other/unknown,2872,OLD,B,F,1
ZnniOZMeWellin,Other/unknown,3169,NEW,B,F,0
ZnniOZMeWellin,Other/unknown,2213,OLD,W,M,1
ZnniOZMeWellin,Other/unknown,2656,NEW,B,F,1
ZnniOZMeWellin,Other/unknown,2066,OLD,W,M,1
ZnniOZMeWellin,Other/unknown,2281,OLD,B,M,1
ZnniOZMeWellin,Other/unknown,2247,OLD,W,M,1
ZnniOZMeWellin,Other/unknown,2233,OLD,B,F,0
ZnniOZMeWellin,Other/unknown,2070,OLD,W,F,1
ZnniOZMeWellin,Other/unknown,2396,NEW,W,M,0
ZnniOZMeWellin,Other/unknown,3756,NEW,W,M,1
ZnniOZMeWellin,Other/unknown,2509,NEW,B,M,0
ZnniOZMeWellin,Other/unknown,2267,OLD,B,M,1
ZnniOZMeWellin,Other/unknown,2300,NEW,W,M,1
ZnniOZMeWellin,Other/unknown,2385,NEW,W,F,0
ZnniOZMeWellin,Other/unknown,2362,NEW,B,F,0
ZnniOZMeWellin,Other/unknown,2611,NEW,W,F,0
ZnniOZMeWellin,Other/unknown,2078,OLD,B,M,1
ZnniOZMeWellin,Other/unknown,2947,NEW,B,F,1
ZnniOZMeWellin,Other/unknown,2153,OLD,W,F,1
ZnniOZMeWellin,Other/unknown,2057,OLD,B,F,1
ZnniOZMeWellin,Other/unknown,2131,NEW,W,F,0
ZnniOZMeWellin,Other/unknown,3231,NEW,B,M,0
ZnniOZMeWellin,Other/unknown,2365,NEW,B,F,0
ZnniOZMeWellin,Other/unknown,2723,OLD,B,M,1
ZnniOZMeWellin,Other/unknown,3916,NEW,W,F,1
ZnniOZMeWellin,Other/unknown,2362,NEW,B,F,0
ZnniOZMeWellin,Other/unknown,2432,NEW,W,F,0
ZnniOZMeWellin,Other/unknown,2211,OLD,B,F,1
ZnniOZMeWellin,Other/unknown,3162,OLD,B,F,0
ZnniOZMeWellin,Other/unknown,4920,OLD,W,M,1
ZnniOZMeWellin,Other/unknown,5369,NEW,W,F,0
ZnniOZMeWellin,Other/unknown,2941,NEW,B,M,0
ZnniOZMeWellin,Other/unknown,2000,OLD,W,F,1
ZnniOZMeWellin,Other/unknown,1979,OLD,B,M,1
ZnniOZMeWellin,Other/unknown,2703,OLD,W,F,1
ZnniOZMeWellin,Other/unknown,2736,OLD,B,F,1
ZnniOZMeWellin,Other/unknown,2653,OLD,W,F,1
ZnniOZMeWellin,Other/unknown,2042,OLD,W,F,1
