"Username","participant_ethnicity","Response.RT","Stimuli.Stimuli.Notes_3","key","Target_Ethnicity","scored"
"573156e4070de6000e43457d","White",3205,"H","OLD","W",1
"573156e4070de6000e43457d","White",2829,"L","NEW","W",0
"573156e4070de6000e43457d","White",4805,"L","OLD","W",1
"573156e4070de6000e43457d","White",2932,"H","OLD","B",1
"573156e4070de6000e43457d","White",3683,"H","OLD","W",1
"573156e4070de6000e43457d","White",3029,"H","OLD","W",0
"573156e4070de6000e43457d","White",4275,"H","NEW","B",0
"573156e4070de6000e43457d","White",3023,"L","NEW","W",0
"573156e4070de6000e43457d","White",3322,"L","NEW","W",0
"573156e4070de6000e43457d","White",3792,"L","OLD","B",1
"573156e4070de6000e43457d","White",3615,"H","NEW","B",0
"573156e4070de6000e43457d","White",3411,"L","OLD","B",1
"573156e4070de6000e43457d","White",3454,"L","OLD","B",1
"573156e4070de6000e43457d","White",3798,"L","NEW","B",0
"573156e4070de6000e43457d","White",4390,"L","OLD","B",0
"573156e4070de6000e43457d","White",4053,"H","OLD","W",0
"573156e4070de6000e43457d","White",2954,"L","OLD","B",1
"573156e4070de6000e43457d","White",4013,"H","NEW","W",0
"573156e4070de6000e43457d","White",3676,"H","NEW","B",1
"573156e4070de6000e43457d","White",7393,"H","NEW","W",1
"573156e4070de6000e43457d","White",3450,"L","NEW","B",0
"573156e4070de6000e43457d","White",3632,"L","OLD","W",0
"573156e4070de6000e43457d","White",3065,"H","OLD","B",1
"573156e4070de6000e43457d","White",2776,"L","OLD","W",0
"573156e4070de6000e43457d","White",4141,"H","OLD","W",1
"573156e4070de6000e43457d","White",2905,"H","OLD","W",1
"573156e4070de6000e43457d","White",3458,"L","NEW","B",0
"573156e4070de6000e43457d","White",4077,"H","OLD","W",1
"573156e4070de6000e43457d","White",3196,"H","OLD","W",0
"573156e4070de6000e43457d","White",3329,"L","OLD","W",0
"573156e4070de6000e43457d","White",4862,"H","NEW","B",0
"573156e4070de6000e43457d","White",3120,"H","OLD","B",1
"573156e4070de6000e43457d","White",3573,"L","OLD","W",1
"573156e4070de6000e43457d","White",3508,"L","NEW","B",0
"573156e4070de6000e43457d","White",3557,"H","OLD","B",0
"573156e4070de6000e43457d","White",3124,"L","NEW","B",0
"573156e4070de6000e43457d","White",2744,"H","NEW","W",0
"573156e4070de6000e43457d","White",2909,"L","NEW","B",0
"573156e4070de6000e43457d","White",2990,"L","NEW","W",0
"573156e4070de6000e43457d","White",3123,"L","NEW","B",0
"573156e4070de6000e43457d","White",4366,"L","OLD","B",1
"573156e4070de6000e43457d","White",3016,"H","NEW","W",0
"573156e4070de6000e43457d","White",2890,"L","OLD","B",1
"573156e4070de6000e43457d","White",5226,"L","OLD","W",0
"573156e4070de6000e43457d","White",3224,"H","OLD","W",0
"573156e4070de6000e43457d","White",3484,"H","NEW","W",0
"573156e4070de6000e43457d","White",2928,"L","NEW","W",0
"573156e4070de6000e43457d","White",6621,"L","OLD","W",1
"573156e4070de6000e43457d","White",3609,"L","OLD","B",1
"573156e4070de6000e43457d","White",3726,"L","NEW","W",0
"573156e4070de6000e43457d","White",3355,"H","NEW","W",0
"573156e4070de6000e43457d","White",3133,"L","NEW","W",0
"573156e4070de6000e43457d","White",2979,"H","OLD","B",0
"573156e4070de6000e43457d","White",2873,"L","OLD","W",1
"573156e4070de6000e43457d","White",3320,"H","NEW","W",0
"573156e4070de6000e43457d","White",4057,"H","NEW","W",0
"573156e4070de6000e43457d","White",3058,"H","NEW","W",0
"573156e4070de6000e43457d","White",5553,"H","NEW","B",1
"573156e4070de6000e43457d","White",3012,"H","NEW","B",0
"573156e4070de6000e43457d","White",4966,"L","NEW","W",0
"573156e4070de6000e43457d","White",3481,"H","NEW","W",0
"573156e4070de6000e43457d","White",2927,"L","NEW","W",0
"573156e4070de6000e43457d","White",2763,"H","NEW","B",1
"57d2edf35e9bc90001f76b06","White",4888,"H","OLD","W",1
